Year,Month,DOMESTIC,INTERNATIONAL,TOTAL,New,Used,Total Sales New,Total Sales Used
2012,3,38479741.00,3817148.00,42296889.00,28280,62426,790798381,513936240
2012,4,36956112.00,3565132.00,40521244.00,27467,56913,766243639,493881213
2012,5,38245610.00,3838621.00,42084231.00,29390,55096,822158205,489914146
2012,6,39823763.00,4216657.00,44040420.00,29662,53148,847168622,487154088
2012,7,41112651.00,4327210.00,45439861.00,26593,52146,791818346,468241971
2012,8,40725499.00,4102244.00,44827743.00,28765,56079,851322732,514215353
2012,9,34687886.00,3362981.00,38050867.00,26671,50566,777860867,453896775
2012,10,37062527.00,3325579.00,40388106.00,27300,53460,815238036,479430068
2012,11,35663648.00,3257837.00,38921485.00,22996,46673,692717590,429661696
2012,12,35429179.00,3716259.00,39145438.00,22632,41588,700168869,404654091
2013,1,33297660.00,3402033.00,36699693.00,27083,46843,842788566,453614704
2013,2,31579505.00,3155210.00,34734715.00,21639,47884,666540837,411525315
2013,3,38911826.00,3937669.00,42849495.00,29606,60740,876674543,516055403
2013,4,36737594.00,3557621.00,40295215.00,31273,60899,890714636,534686074
2013,5,38902419.00,3992393.00,42894812.00,32103,59114,905273123,548815730
2013,6,40039785.00,4390199.00,44429984.00,31181,53038,893995360,487560735
2013,7,41085146.00,4551956.00,45637102.00,31348,58276,935844662,543294518
2013,8,40595210.00,4363178.00,44958388.00,28407,56801,846084877,536010618
2013,9,35221050.00,3455176.00,38676226.00,28654,54525,873865855,508508353
2013,10,37908716.00,3493221.00,41401937.00,27106,55433,876865110,525502076
2013,11,34930318.00,3348263.00,38278581.00,23235,47181,743865185,460464879
2013,12,37556830.00,3950321.00,41507151.00,23574,44021,760977262,450091642
2014,1,33427369.00,3569984.00,36997353.00,26792,44887,866726180,460264339
2014,2,31382717.00,3267620.00,34650337.00,20202,46154,629593928,420312854
2014,3,39766444.00,4058146.00,43824590.00,25318,58015,778419410,530709741
2014,4,38308155.00,3809267.00,42117422.00,29820,61277,901354171,565840381
2014,5,40013730.00,4199888.00,44213618.00,31504,56649,930989023,533756933
2014,6,41022832.00,4565117.00,45587949.00,32620,58619,964450549,567571137
2014,7,42800994.00,4667210.00,47468204.00,33299,60001,1024912743,597775943
2014,8,41842228.00,4481357.00,46323585.00,30982,56517,967003330,544939982
2014,9,36545559.00,3518949.00,40064508.00,32431,59261,1015189704,568777644
2014,10,39619179.00,3523451.00,43142630.00,29250,59014,923842238,583891303
2014,11,36395289.00,3430470.00,39825759.00,22582,46000,723803223,456675447
2014,12,38497429.00,4124202.00,42621631.00,26419,50072,850948572,514628809
2015,1,34662208.00,3690295.00,38352503.00,28889,48465,974532500,512446033
2015,2,32678289.00,3337196.00,36015485.00,22430,51038,709556549,484053250
2015,3,41216458.00,4058773.00,45275231.00,27428,61346,834375096,575005263
2015,4,40114276.00,3856380.00,43970656.00,32240,64350,988046475,632625988
2015,5,41827731.00,4230600.00,46058331.00,29626,57563,898866880,558692764
2015,6,42957026.00,4652152.00,47609178.00,34695,54124,1051510311,581809219
2015,7,45340588.00,4886311.00,50226899.00,34179,62920,1062988492,650454487
2015,8,44102520.00,4636832.00,48739352.00,30125,61268,958163037,618794306
2015,9,39100951.00,3683823.00,42784774.00,32154,62182,1035533325,632452008
2015,10,42471350.00,3745191.00,46216541.00,30552,62954,991747766,653329361
