Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2012,3,38479741.00 ,3817148.00 ,42296889.00 
2012,4,36956112.00 ,3565132.00 ,40521244.00 
2012,5,38245610.00 ,3838621.00 ,42084231.00 
2012,6,39823763.00 ,4216657.00 ,44040420.00 
2012,7,41112651.00 ,4327210.00 ,45439861.00 
2012,8,40725499.00 ,4102244.00 ,44827743.00 
2012,9,34687886.00 ,3362981.00 ,38050867.00 
2012,10,37062527.00 ,3325579.00 ,40388106.00 
2012,11,35663648.00 ,3257837.00 ,38921485.00 
2012,12,35429179.00 ,3716259.00 ,39145438.00 
2013,1,33297660.00 ,3402033.00 ,36699693.00 
2013,2,31579505.00 ,3155210.00 ,34734715.00 
2013,3,38911826.00 ,3937669.00 ,42849495.00 
2013,4,36737594.00 ,3557621.00 ,40295215.00 
2013,5,38902419.00 ,3992393.00 ,42894812.00 
2013,6,40039785.00 ,4390199.00 ,44429984.00 
2013,7,41085146.00 ,4551956.00 ,45637102.00 
2013,8,40595210.00 ,4363178.00 ,44958388.00 
2013,9,35221050.00 ,3455176.00 ,38676226.00 
2013,10,37908716.00 ,3493221.00 ,41401937.00 
2013,11,34930318.00 ,3348263.00 ,38278581.00 
2013,12,37556830.00 ,3950321.00 ,41507151.00 
2014,1,33427369.00 ,3569984.00 ,36997353.00 
2014,2,31382717.00 ,3267620.00 ,34650337.00 
2014,3,39766444.00 ,4058146.00 ,43824590.00 
2014,4,38308155.00 ,3809267.00 ,42117422.00 
2014,5,40013730.00 ,4199888.00 ,44213618.00 
2014,6,41022832.00 ,4565117.00 ,45587949.00 
2014,7,42800994.00 ,4667210.00 ,47468204.00 
2014,8,41842228.00 ,4481357.00 ,46323585.00 
2014,9,36545559.00 ,3518949.00 ,40064508.00 
2014,10,39619179.00 ,3523451.00 ,43142630.00 
2014,11,36395289.00 ,3430470.00 ,39825759.00 
2014,12,38497429.00 ,4124202.00 ,42621631.00 
2015,1,34662208.00 ,3690295.00 ,38352503.00 
2015,2,32678289.00 ,3337196.00 ,36015485.00 
2015,3,41216458.00 ,4058773.00 ,45275231.00 
2015,4,40114276.00 ,3856380.00 ,43970656.00 
