Passengers (All U.S. Carriers - All Major Airports (Origin Airport)),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2012,3,"38,479,741","3,817,148","42,296,889"
2012,4,"36,956,112","3,565,132","40,521,244"
2012,5,"38,245,610","3,838,621","42,084,231"
2012,6,"39,823,763","4,216,657","44,040,420"
2012,7,"41,112,651","4,327,210","45,439,861"
2012,8,"40,725,499","4,102,244","44,827,743"
2012,9,"34,687,886","3,362,981","38,050,867"
2012,10,"37,062,527","3,325,579","40,388,106"
2012,11,"35,663,648","3,257,837","38,921,485"
2012,12,"35,429,179","3,716,259","39,145,438"
2013,1,"33,297,660","3,402,033","36,699,693"
2013,2,"31,579,505","3,155,210","34,734,715"
2013,3,"38,911,826","3,937,669","42,849,495"
2013,4,"36,737,594","3,557,621","40,295,215"
2013,5,"38,902,419","3,992,393","42,894,812"
2013,6,"40,039,785","4,390,199","44,429,984"
2013,7,"41,085,146","4,551,956","45,637,102"
2013,8,"40,595,210","4,363,178","44,958,388"
2013,9,"35,221,050","3,455,176","38,676,226"
2013,10,"37,908,716","3,493,221","41,401,937"
2013,11,"34,930,318","3,348,263","38,278,581"
2013,12,"37,556,830","3,950,321","41,507,151"
2014,1,"33,427,369","3,569,984","36,997,353"
2014,2,"31,382,717","3,267,620","34,650,337"
2014,3,"39,766,444","4,058,146","43,824,590"
2014,4,"38,308,155","3,809,267","42,117,422"
2014,5,"40,013,730","4,199,888","44,213,618"
2014,6,"41,022,832","4,565,117","45,587,949"
2014,7,"42,800,994","4,667,210","47,468,204"
2014,8,"41,842,228","4,481,357","46,323,585"
2014,9,"36,545,559","3,518,949","40,064,508"
2014,10,"39,619,179","3,523,451","43,142,630"
2014,11,"36,395,289","3,430,470","39,825,759"
2014,12,"38,497,429","4,124,202","42,621,631"
2015,1,"34,662,208","3,690,295","38,352,503"
2015,2,"32,678,289","3,337,196","36,015,485"
2015,3,"41,216,458","4,058,773","45,275,231"
2015,4,"40,114,276","3,856,380","43,970,656"
2015,5,"41,827,731","4,230,600","46,058,331"
2015,6,"42,957,026","4,652,152","47,609,178"
2015,7,"45,340,588","4,886,311","50,226,899"
2015,8,"44,102,520","4,636,832","48,739,352"
2015,9,"39,100,951","3,683,823","42,784,774"
2015,10,"42,471,350","3,745,191","46,216,541"
2015,11,"39,749,527","3,535,103","43,284,630"
2015,12,"40,287,914","4,243,978","44,531,892"
2016,1,"36,629,034","3,802,099","40,431,133"
2016,2,"35,381,290","3,491,895","38,873,185"
2016,3,"42,637,581","4,226,776","46,864,357"
2016,4,"41,001,227","3,870,417","44,871,644"
2016,5,"43,551,180","4,241,532","47,792,712"
2016,6,"45,014,124","4,769,453","49,783,577"
2016,7,"46,008,042","4,961,355","50,969,397"
2016,8,"44,506,696","4,528,399","49,035,095"
2016,9,"40,693,769","3,710,298","44,404,067"
2016,10,"42,776,432","3,687,758","46,464,190"
2016,11,"40,958,903","3,516,463","44,475,366"
2016,12,"40,958,871","4,421,498","45,380,369"
2017,1,"37,632,046","3,874,544","41,506,590"
2017,2,"35,168,909","3,504,476","38,673,385"
2017,3,"43,980,716","4,296,582","48,277,298"
2017,4,"42,157,262","4,256,527","46,413,789"
2017,5,"44,363,297","4,516,611","48,879,908"
2017,6,"45,880,248","5,066,398","50,946,646"
2017,7,"47,228,794","5,181,403","52,410,197"
2017,8,"46,433,790","4,819,569","51,253,359"
2017,9,"39,499,256","3,709,954","43,209,210"
2017,10,"44,431,240","3,852,518","48,283,758"
